Symbol,Date,Open,High,Low,Close,Volume
AAL,10-May-2016,33.24,33.8,33.09,33.77,8124300
AAME,10-May-2016,4.1,4.1,4.1,4.1,0
AAOI,10-May-2016,8.9,9.15,8.08,8.49,1899200
AAON,10-May-2016,27.75,28.61,27.62,28.25,159100
AAPL,10-May-2016,23.3325,23.3925,23.0275,23.355,33686800
AAWW,10-May-2016,46.21,46.97,45.34,46.27,455300
AAXJ,10-May-2016,52.09,52.53,52.09,52.51,672300
ABCB,10-May-2016,30.82,31.5,30.74,31.25,131000
ABEO,10-May-2016,2.52,2.52,2.41,2.48,14100
ABIO,10-May-2016,63.72,67.32,61.02,61.56,99500
ABMD,10-May-2016,97.1,97.84,95.5,96.75,478400
ABTX,10-May-2016,22.7,23.8,22.11,22.45,24300
ABUS,10-May-2016,4.34,4.5,4.22,4.5,138200
ACAD,10-May-2016,29.56,29.94,28.46,29.81,2350300
ACBI,10-May-2016,14.3,14.43,14.1,14.43,39200
ACET,10-May-2016,21.27,21.27,20.71,21.17,342500
ACGL,10-May-2016,23.47,23.88,23.3433,23.8467,287300
ACHC,10-May-2016,59.03,59.28,57.92,58.84,515700
ACIW,10-May-2016,20.15,20.41,19.97,20.39,355100
ACLS,10-May-2016,9.84,10.04,9.68,9.92,408400
ACNB,10-May-2016,21.97,22.28,21.89,22.28,4500
ACOR,10-May-2016,27.26,27.43,26.8,27.36,337600
ACRS,10-May-2016,20.4,21.05,19.16,19.98,34600
ACRX,10-May-2016,3.32,3.32,3.11,3.18,214000
ACST,10-May-2016,1.2,1.33,1.2,1.22,4700
ACTG,10-May-2016,4.64,4.72,4.55,4.62,274900
ACWI,10-May-2016,56.14,56.66,56.14,56.65,1592900
ACWX,10-May-2016,39.57,39.91,39.57,39.9,344000
ADAP,10-May-2016,9.59,9.95,9.48,9.87,77100
ADBE,10-May-2016,94.82,96.59,94.75,96.52,1808300
ADI,10-May-2016,55.55,56.17,55.17,56.1,2622800
ADMA,10-May-2016,6.11,6.18,6.05,6.12,17800
ADMP,10-May-2016,10.76,10.98,8.98,8.99,629200
ADMS,10-May-2016,15.14,15.3,14.72,15.1,251800
ADP,10-May-2016,87.43,88.53,87.16,88.5,4131700
ADRE,10-May-2016,30.19,30.57,30.19,30.56,3400
ADSK,10-May-2016,58.91,59.66,58.89,59.57,2507000
ADTN,10-May-2016,18.58,18.85,18.44,18.83,681900
ADUS,10-May-2016,19.64,19.72,19.29,19.58,18400
ADXS,10-May-2016,115.8,116.85,110.7,114.75,473800
AEHR,10-May-2016,1.31,1.35,1.31,1.31,8600
AEIS,10-May-2016,34.5,34.99,34.2,34.78,366300
AEMD,10-May-2016,75,79.95,73.95,76.35,31700
AERI,10-May-2016,14.67,14.67,13.8,13.85,327000
