Symbol,Date,Open,High,Low,Close,Volume
AACB,24-Feb-2026,10.33,10.33,10.33,10.3406,0
AACG,24-Feb-2026,0.9388,0.972,0.9302,0.9304,5300
AACIU,24-Feb-2026,9.975,9.975,9.97,9.975,46100
AACOU,24-Feb-2026,9.98,9.99,9.93,9.94,340200
AADR,24-Feb-2026,94.84,94.92,94.155,94.47,2600
AAEQ,24-Feb-2026,48.89,48.89,48.8775,48.8775,100
AAL,24-Feb-2026,12.93,13.34,12.89,13.15,64755800
AALG,24-Feb-2026,12.19,12.55,12.0349,12.3594,15500
AAME,24-Feb-2026,2.78,2.78,2.675,2.7,9700
AAOI,24-Feb-2026,52.88,56.61,51,56.27,4197500
AAON,24-Feb-2026,101.06,104.35,100.25,100.95,602600
AAPB,24-Feb-2026,30.99,32.06,30.985,31.4932,187200
AAPD,24-Feb-2026,13.28,13.28,12.925,13.05,7790900
AAPL,24-Feb-2026,267.86,274.89,267.71,272.14,47014600
AAPU,24-Feb-2026,31.84,33.54,31.84,32.9,2231200
AARD,24-Feb-2026,12.52,12.9,12.4,12.68,92400
AAUS,24-Feb-2026,55.09,55.124,55.09,55.124,300
AAVM,24-Feb-2026,33.5503,33.62,33.5503,33.59,600
AAXJ,24-Feb-2026,105.91,106.91,105.69,106.44,935000
ABAT,24-Feb-2026,3.51,3.68,3.45,3.66,2971300
ABCL,24-Feb-2026,3.06,3.27,3.06,3.22,5556400
ABCS,24-Feb-2026,31.32,31.3805,31.32,31.3805,3600
ABEO,24-Feb-2026,5.2,5.43,5.16,5.4,1747600
ABI,24-Feb-2026,25.03,25.03,25.03,25.03,100
ABIG,24-Feb-2026,30.81,30.96,30.81,30.9323,13000
ABLV,24-Feb-2026,0.79,0.79,0.79,0.79,600
ABLVW,24-Feb-2026,0.024,0.024,0.024,0.024,100
ABNB,24-Feb-2026,124.02,127.7,123.77,125.66,4695900
ABNG,24-Feb-2026,15.05,15.14,14.97,15.0259,700
ABOS,24-Feb-2026,2.57,2.8,2.48,2.76,234500
ABSI,24-Feb-2026,2.63,2.77,2.595,2.71,2130900
ABTC,24-Feb-2026,0.95,1.03,0.9256,1.02,8143900
ABTS,24-Feb-2026,2.71,3.3299,2.71,2.81,220200
ABUS,24-Feb-2026,4.39,4.505,4.39,4.46,1237700
ABVC,24-Feb-2026,1.4,1.4228,1.375,1.4,32100
ABVE,24-Feb-2026,1.37,1.42,1.35,1.42,958800
ABVEW,24-Feb-2026,0.39,0.4,0.32,0.4,23700
ABVX,24-Feb-2026,130.84,130.89,124.04,128.29,1110000
ACAAU,24-Feb-2026,10.01,10.01,10,10.005,511400
ACAD,24-Feb-2026,25.04,25.1897,24.49,24.59,1500700
ACB,24-Feb-2026,3.63,3.83,3.63,3.79,594200
ACCL,24-Feb-2026,1.41,1.47,1.4008,1.45,19700
ACDC,24-Feb-2026,5.15,5.16,4.99,5.14,893500
ACEP,24-Feb-2026,17.84,18.0577,17.84,18.0577,700
ACET,24-Feb-2026,6.88,7.5,6.88,7.36,126200
ACFN,24-Feb-2026,17.9881,17.9881,16.74,17.23,9400
ACGL,24-Feb-2026,98.7,99.49,97.77,99.18,1541800
ACGLN,24-Feb-2026,17.67,17.77,17.61,17.63,38300
ACGLO,24-Feb-2026,21.16,21.22,21.1,21.1,33100
ACHC,24-Feb-2026,17.39,17.5,16.48,17.17,3407500
ACHV,24-Feb-2026,4.23,4.545,4.23,4.39,430400
ACIC,24-Feb-2026,10.69,11.08,10.67,11.05,720500
ACIU,24-Feb-2026,2.55,2.73,2.44,2.72,233900
ACIW,24-Feb-2026,38.49,39.71,38.49,39.08,857200
ACLS,24-Feb-2026,79.36,82.63,79,81.77,685100
ACLX,24-Feb-2026,113.78,113.91,113.65,113.75,19207700
ACMR,24-Feb-2026,65.87,68.94,65.87,67.76,915900
ACNB,24-Feb-2026,50.22,50.27,48.8,49.41,32300
ACNT,24-Feb-2026,17.15,17.5344,17.09,17.26,32300
ACOG,24-Feb-2026,5.75,6.07,5.46,6.01,123400
ACON,24-Feb-2026,2.5,2.58,2.46,2.52,43000
ACONW,24-Feb-2026,0.0341,0.0341,0.0341,0.0341,1100
ACRS,24-Feb-2026,3.27,3.435,3.25,3.36,1562900
ACRV,24-Feb-2026,1.51,1.55,1.5,1.5,1067700
ACT,24-Feb-2026,41.2,41.62,41.05,41.46,181800
ACTG,24-Feb-2026,4.05,4.1,3.995,4.03,198500
ACTU,24-Feb-2026,3.82,4.25,3.82,4.16,23100
ACWI,24-Feb-2026,146.29,147.54,145.92,147.33,4873400
ACWX,24-Feb-2026,73.74,74.265,73.61,74.09,2046700
ACXP,24-Feb-2026,1.61,1.68,1.58,1.59,48700
ADACU,24-Feb-2026,9.98,9.98,9.98,9.98,100
ADACW,24-Feb-2026,0.4,0.4,0.3999,0.3999,200
ADAG,24-Feb-2026,3.22,3.49,3.1221,3.35,43300
ADAM,24-Feb-2026,7.92,8.08,7.77,8.02,974100
ADAMG,24-Feb-2026,25.34,25.35,25.2801,25.35,12200
ADAMH,24-Feb-2026,25.65,25.69,25.63,25.63,30500
ADAMI,24-Feb-2026,25.34,25.4,25.33,25.3782,3700
ADAML,24-Feb-2026,23.4225,23.515,23.42,23.515,2800
ADAMM,24-Feb-2026,25.27,25.41,25.245,25.41,10200
ADAMN,24-Feb-2026,22.62,22.62,22.5,22.57,8600
ADAMO,24-Feb-2026,25.4,25.41,25.33,25.36,20100
ADAMZ,24-Feb-2026,19.96,19.96,19.8125,19.83,2900
ADBE,24-Feb-2026,245.57,258.25,244.28,255.17,5529100
ADBG,24-Feb-2026,4.84,5.31,4.78,5.2,1668600
ADEA,24-Feb-2026,20.06,20.12,17.31,19.75,1888400
ADGM,24-Feb-2026,1,1.07,0.992,0.9952,71100
ADI,24-Feb-2026,359,362.49,355.6401,356.09,4541300
ADIL,24-Feb-2026,2.36,2.54,2.27,2.44,59700
ADMA,24-Feb-2026,16.36,16.4,15.345,15.52,2333300
ADP,24-Feb-2026,205.73,207.7775,203.26,205.68,5808200
ADPT,24-Feb-2026,15.39,16.21,15.39,16.05,1575200
ADSE,24-Feb-2026,11.95,12,10.8885,11.89,3300
ADSEW,24-Feb-2026,0.86,0.86,0.7303,0.81,10500
ADSK,24-Feb-2026,217.54,225.3,215.01,220.91,2204500
ADTN,24-Feb-2026,10.29,10.84,10.19,10.58,2182100
ADTX,24-Feb-2026,0.5097,0.5401,0.5041,0.5192,116000
ADUR,24-Feb-2026,10.23,11.18,10.15,11.02,215700
ADUS,24-Feb-2026,107.27,113,101,105.2,679400
ADV,24-Feb-2026,0.5473,0.579,0.5,0.5015,856400
ADVB,24-Feb-2026,4.19,5.6899,3.61,3.72,661600
AEAQ,24-Feb-2026,9.91,9.91,9.91,9.91,121500
AEAQW,24-Feb-2026,0.35,0.35,0.35,0.35,200
AEBI,24-Feb-2026,14.72,15.035,13.86,14.71,268800
AEC,24-Feb-2026,7.02,7.2592,6.71,7.03,38200
AEHL,24-Feb-2026,0.5506,0.5699,0.521,0.5569,116700
AEHR,24-Feb-2026,34.5,40,34.42,39.23,2580000
AEI,24-Feb-2026,2.19,2.28,2.0962,2.27,6600
AEIS,24-Feb-2026,331.31,340.26,328.0007,335.74,522900
AEMD,24-Feb-2026,1.99,2.02,1.92,2.005,20100
AENT,24-Feb-2026,4.73,5.305,4.73,5.13,96100
AENTW,24-Feb-2026,0.44,0.44,0.41,0.41,11400
AEP,24-Feb-2026,131.46,132.555,130.27,132.39,3209200
AERT,24-Feb-2026,0.3687,0.3687,0.2603,0.286,666400
AEVA,24-Feb-2026,12.5,13.38,12.33,13.06,1027000
AEYE,24-Feb-2026,6.49,7,6.49,6.89,99800
AFBI,24-Feb-2026,20.06,20.525,19.72,19.72,4700
AFCG,24-Feb-2026,2.15,2.345,2.15,2.33,204500
AFJK,24-Feb-2026,38.15,38.15,35.27,35.27,1900
AFJKR,24-Feb-2026,0.35,0.404,0.3288,0.3288,23500
AFOS,24-Feb-2026,38.5,39.03,38.5,38.8391,17000
AFRI,24-Feb-2026,9.94,9.94,9.75,9.92,1700
AFRIW,24-Feb-2026,0.8325,0.8325,0.8325,0.8325,200
AFRM,24-Feb-2026,47.13,48.4988,46.5664,47.87,4930500
AFSC,24-Feb-2026,32.47,32.6304,32.47,32.6304,100
AFYA,24-Feb-2026,13.66,13.95,13.15,13.86,148700
AGAE,24-Feb-2026,0.3035,0.325,0.296,0.314,926600
AGCC,24-Feb-2026,13.38,14.655,13,14.55,54000
AGEM,24-Feb-2026,44.49,45.24,44.49,45.1872,10800
AGEN,24-Feb-2026,3.06,3.35,3.021,3.22,407900
AGGA,24-Feb-2026,25.41,25.44,25.4,25.415,7100
AGH,24-Feb-2026,4.235,4.235,3.9,3.94,16900
AGIO,24-Feb-2026,30.35,31.02,29.71,30.39,1201100
AGIX,24-Feb-2026,33.87,34.4126,33.41,34.37,77700
AGMB.OB,24-Feb-2026,15.85,16.075,15.28,15.99,224500
AGMH,24-Feb-2026,1.33,1.35,1.31,1.31,15300
AGMI,24-Feb-2026,82.24,85.545,81.0001,85.0698,8000
AGNC,24-Feb-2026,11.29,11.32,11.16,11.31,27093200
AGNCL,24-Feb-2026,25.1,25.19,25.1,25.11,4800
AGNCM,24-Feb-2026,25.05,25.1,24.98,24.9918,20000
AGNCN,24-Feb-2026,25.72,25.72,25.61,25.62,12100
AGNCO,24-Feb-2026,25.47,25.62,25.4603,25.52,16700
AGNCP,24-Feb-2026,25.09,25.148,25.08,25.08,33400
AGNCZ,24-Feb-2026,26.19,26.19,26.05,26.08,42600
AGNG,24-Feb-2026,38.22,39.48,38.22,38.3413,16600
AGPU,24-Feb-2026,2.11,2.24,2.11,2.21,14000
AGRZ,24-Feb-2026,0.4,0.4271,0.3953,0.401,88900
AGYS,24-Feb-2026,71.23,75.75,71.22,71.97,565800
AGZD,24-Feb-2026,22.57,22.57,22.48,22.5303,18200
AHCO,24-Feb-2026,10.05,10.165,8.505,8.855,4166700
AHG,24-Feb-2026,1.27,1.4,1.25,1.4,2900
AHMA,24-Feb-2026,7.1701,7.7055,7,7,27400
AIA,24-Feb-2026,116.06,117.725,116,117.15,141100
AIDX,24-Feb-2026,8.65,9.39,7.38,7.98,184300
AIFD,24-Feb-2026,39.34,39.81,39.25,39.725,10300
AIFF,24-Feb-2026,0.67,0.67,0.638,0.6568,30800
AIFU,24-Feb-2026,1.78,1.8,1.78,1.8,600
AIHS,24-Feb-2026,1.29,1.295,1.28,1.28,14800
AIIO,24-Feb-2026,0.1118,0.1191,0.11,0.1125,1936700
AIIOW,24-Feb-2026,0.0177,0.0206,0.0177,0.0177,7600
AIMD,24-Feb-2026,1.45,1.72,1.44,1.63,82400
AIMDW,24-Feb-2026,0.1,0.1,0.1,0.1,100
AIMS.OB,24-Feb-2026,24.76,24.77,24.72,24.7619,2400
AIOS,24-Feb-2026,0.56,0.66,0.56,0.6507,872600
AIOT,24-Feb-2026,3.48,3.71,3.48,3.62,1478600
AIP,24-Feb-2026,14.65,15.719,14.485,15.61,435600
AIPI,24-Feb-2026,35.54,36.01,35.3,35.81,140500
AIPO,24-Feb-2026,26.05,26.73,25.7,26.73,392300
AIQ,24-Feb-2026,48.85,49.665,48.5286,49.49,2365100
AIRE,24-Feb-2026,0.3013,0.3431,0.3007,0.3273,2941100
AIRG,24-Feb-2026,5.04,5.1404,4.815,4.83,43600
AIRJ,24-Feb-2026,3.09,3.27,3.05,3.2,367200
AIRJW,24-Feb-2026,0.68,0.78,0.6791,0.71,5800
AIRO,24-Feb-2026,9.54,10.1482,9.34,10.07,378100
AIRR,24-Feb-2026,118.38,120.4599,117.258,120.03,742700
AIRS,24-Feb-2026,1.66,1.79,1.66,1.725,580200
AIRT,24-Feb-2026,23.06,23.37,22.6,22.6,3400
AIRTP,24-Feb-2026,19.92,19.99,19.85,19.85,1300
AISP,24-Feb-2026,2.51,2.97,2.51,2.91,1194200
AISPW,24-Feb-2026,0.9099,1.05,0.9099,1.05,59400
AIXC,24-Feb-2026,1,1.01,0.92,0.96,63200
AIXI,24-Feb-2026,0.2179,0.2298,0.2134,0.2216,556500
AKAM,24-Feb-2026,98.66,103.9,98,100.13,5382800
AKAN,24-Feb-2026,0.87,0.9217,0.834,0.9198,119100
AKBA,24-Feb-2026,1.21,1.27,1.1901,1.24,2492300
AKTS,24-Feb-2026,19.54,20.1,19.04,20,236600
AKTX,24-Feb-2026,0.231,0.275,0.231,0.255,548000
ALAB,24-Feb-2026,129.69,131.4799,126.5,128.4,2894000
ALAR,24-Feb-2026,6.66,6.85,6.61,6.63,80500
ALBG,24-Feb-2026,16.93,17.3502,16.87,17.0103,13500
ALBT,24-Feb-2026,0.4995,0.5449,0.485,0.5013,180700
ALCO,24-Feb-2026,41.5,41.84,41.1006,41.59,17800
ALCY,24-Feb-2026,11.79,11.79,11.71,11.71,3000
ALDF,24-Feb-2026,10.55,10.55,10.55,10.55,94400
ALDFW,24-Feb-2026,0.5054,0.5054,0.45,0.4999,51200
ALDX,24-Feb-2026,4.97,5.34,4.955,5.21,1045600
ALEC,24-Feb-2026,2.1,2.2253,2.06,2.19,528800
ALF,24-Feb-2026,10.72,10.76,10.72,10.76,300
ALGM,24-Feb-2026,38.91,39.66,38.66,39.04,1795900
ALGN,24-Feb-2026,180.61,186.135,179.785,185.53,1268300
ALGS,24-Feb-2026,7,7.25,6.85,7.09,20000
ALGT,24-Feb-2026,104.17,106.87,101.65,103.69,426900
ALHC,24-Feb-2026,20.02,20.02,19.07,19.6,3479100
ALIL,24-Feb-2026,30.38,30.38,30.2444,30.2444,100
ALISR,24-Feb-2026,0.54,0.54,0.52,0.54,72600
ALKS,24-Feb-2026,32.91,33.88,32.545,33.39,2161400
ALKT,24-Feb-2026,15.75,15.96,15.09,15.6,2741200
ALLO,24-Feb-2026,2.1,2.31,2.1,2.29,6636200
ALLR,24-Feb-2026,0.9353,0.975,0.9,0.95,135500
ALLT,24-Feb-2026,9.4,9.85,9.33,9.81,498100
ALLW,24-Feb-2026,29.8,29.8,29.61,29.76,488300
ALM,24-Feb-2026,15.45,17.12,15.33,16.58,6191700
ALMS,24-Feb-2026,27.55,28.68,27.45,28.08,1102500
ALMU,24-Feb-2026,15.76,18,15.6301,17.75,866900
ALNT,24-Feb-2026,65.65,67.48,65.2054,67.47,95100
ALNY,24-Feb-2026,328.22,333.065,324.48,332.85,791500
ALOT,24-Feb-2026,9.33,9.33,9.12,9.22,19400
ALOVU,24-Feb-2026,9.96,9.98,9.96,9.98,52100
ALP,24-Feb-2026,0.426,0.43,0.3946,0.4,669800
ALPS,24-Feb-2026,0.945,0.945,0.8603,0.9311,24800
