Symbol,Date,Open,High,Low,Close,Volume
AAME,24-Jul-2009,0.87,0.87,0.64,0.72,6600
AAON,24-Jul-2009,5.8519,5.9615,5.7126,5.7926,212200
AAPL,24-Jul-2009,5.6054,5.7143,5.5893,5.7139,15655700
AAWW,24-Jul-2009,23.74,24.7,23.31,24.53,187700
AAXJ,24-Jul-2009,49.34,49.34,48.25,49.03,255100
ABCB,24-Jul-2009,6.39,6.53,6.32,6.5,12200
ABIO,24-Jul-2009,2751.84,2751.84,2668.68,2729.16,73900
ABMD,24-Jul-2009,7.62,7.62,7.14,7.24,322900
ACAD,24-Jul-2009,2.6,3.75,2.6,3.41,3450900
ACET,24-Jul-2009,6.95,7.01,6.85,6.99,68900
ACGL,24-Jul-2009,7.1111,7.15,6.94,7.0233,591000
ACIW,24-Jul-2009,4.83,4.98,4.75,4.9667,119700
ACLS,24-Jul-2009,2,2.08,1.92,1.92,678400
ACMR,24-Jul-2009,3.36,3.53,3.35,3.47,35000
ACOR,24-Jul-2009,25.32,26.13,25.32,26.07,351400
ACTG,24-Jul-2009,8.6,8.67,8.05,8.24,360800
ACWI,24-Jul-2009,36.92,37.21,36.74,37.21,298300
ACWX,24-Jul-2009,35.88,36.1,35.66,36.09,44000
ADBE,24-Jul-2009,31.83,32.69,31.67,32.63,5921400
ADES,24-Jul-2009,1.945,2.035,1.94,2.035,3100
ADI,24-Jul-2009,27.05,27.37,26.74,27.37,3333500
ADP,24-Jul-2009,31.6067,32.4672,31.4926,32.4232,3725800
ADPT,24-Jul-2009,2.53,2.6,2.5,2.57,814000
ADRE,24-Jul-2009,37.8,37.9,37.36,37.81,103300
ADSK,24-Jul-2009,21.77,22.33,21.48,22.3,4907200
ADTN,24-Jul-2009,24.71,25.03,24.44,25,895600
AEHR,24-Jul-2009,0.92,0.97,0.92,0.96,30500
AEIS,24-Jul-2009,11.77,11.77,10.72,11.44,454400
AEY,24-Jul-2009,1.9,1.9,1.84,1.84,6000
AEZS,24-Jul-2009,1176,1308,1158,1284,504600
AGEN,24-Jul-2009,2.3,2.33,2.16,2.27,2706700
AGNC,24-Jul-2009,23.78,23.86,23.15,23.41,295300
AGYS,24-Jul-2009,4.91,5.13,4.6,5.13,88700
AHPI,24-Jul-2009,4.3,4.3,4.3,4.3,0
AIMC,24-Jul-2009,8.55,9,8.55,8.87,201600
AINV,24-Jul-2009,18.69,19.08,18,18.69,1619200
AIRT,24-Jul-2009,8.43,8.47,8.27,8.27,14800
AKAM,24-Jul-2009,20.94,21.19,20.49,21.13,4005800
ALCO,24-Jul-2009,30.54,31.38,29.94,30.72,10500
ALGN,24-Jul-2009,11.49,11.49,10.58,11.46,3554900
ALGT,24-Jul-2009,41.79,43.95,41.19,43.8,484400
ALKS,24-Jul-2009,11.52,11.67,11.43,11.61,446400
ALLT,24-Jul-2009,3.79,3.8,3.64,3.71,23600
ALNY,24-Jul-2009,23.09,23.37,22.26,23.32,162900
ALOT,24-Jul-2009,5.92,5.97,5.55,5.69,1000
ALTR,24-Jul-2009,18.72,19.14,18.5,19.11,11381600
ALTU,24-Jul-2009,0.35,0.37,0.34,0.35,282700
ALVR,24-Jul-2009,46,46.6,45.5,46.5,348100
AMAT,24-Jul-2009,13.21,13.26,12.91,13.19,21673700
AMD,24-Jul-2009,3.56,3.81,3.54,3.77,25206500
AMED,24-Jul-2009,37.64,38.82,37.6,38.72,499100
AMGN,24-Jul-2009,59.2,61,59.2,60.92,6774400
AMKR,24-Jul-2009,5.83,5.92,5.67,5.87,1667700
AMNB,24-Jul-2009,22.43,22.65,21.57,22.46,44900
AMOT,24-Jul-2009,2,2,2,2,200
AMPH,24-Jul-2009,22.74,23,22.63,22.74,12600
AMPL,24-Jul-2009,50.8,50.8,45.2,50.2,19300
AMRN,24-Jul-2009,1.28,1.29,1.28,1.29,500
AMSC,24-Jul-2009,263,269.2,257.8,268.4,651800
AMSF,24-Jul-2009,16.03,16.36,15.86,16.27,64000
AMSWA,24-Jul-2009,6.15,6.21,6.1,6.16,32800
AMWD,24-Jul-2009,22.97,23.91,22.9,23.75,30200
AMZN,24-Jul-2009,87.6,88.9,85.5,86.49,19213400
ANAT,24-Jul-2009,77.11,79.26,76.35,78.49,28500
ANDE,24-Jul-2009,20.6333,20.7533,20.4533,20.66,212600
ANGN,24-Jul-2009,2.84,2.84,2.84,2.84,200
ANGO,24-Jul-2009,11.96,12.64,11.78,12.12,213100
ANIK,24-Jul-2009,5.74,5.84,5.73,5.8,41700
ANSS,24-Jul-2009,30.58,31.36,30.58,31.29,408800
APAC,24-Jul-2009,5.2,5.25,5.16,5.2,197800
APEI,24-Jul-2009,35.17,35.55,34.35,34.55,182600
APOG,24-Jul-2009,13.92,14.1,13.84,13.96,176400
ARAY,24-Jul-2009,6.7,6.84,6.61,6.8,193300
