Symbol,Date,Open,High,Low,Close,Volume
AACG,28-Jan-2026,1.13,1.1481,1.13,1.145,4700
AADR,28-Jan-2026,98.38,98.38,96.55,97.0889,1600
AAEQ,28-Jan-2026,49.8743,49.8743,49.8743,49.8743,100
AAL,28-Jan-2026,13.65,13.74,13.38,13.44,52655400
AALG,28-Jan-2026,13.68,13.9499,13.23,13.4,17000
AAME,28-Jan-2026,2.74,2.8,2.693,2.78,10700
AAOI,28-Jan-2026,37.87,46.2999,37.655,45.23,11717700
AAON,28-Jan-2026,91.86,94.01,88.21,91.22,695400
AAPB,28-Jan-2026,28.54,28.76,27.8501,28.25,333400
AAPD,28-Jan-2026,13.83,14.0201,13.8,13.9002,4625000
AAPG,28-Jan-2026,26.3,26.3,25.28,25.3,2000
AAPL,28-Jan-2026,257.65,258.855,254.51,256.44,41287900
AAPU,28-Jan-2026,29.95,30.14,29.155,29.58,2615600
AARD,28-Jan-2026,15.11,15.11,13.22,13.25,208900
AAUS,28-Jan-2026,56.05,56.05,56.03,56.0302,900
AAVM,28-Jan-2026,31.8712,31.9949,31.8712,31.9949,800
AAXJ,28-Jan-2026,102.97,102.97,102.125,102.68,710400
ABAT,28-Jan-2026,4.73,4.8848,4.37,4.58,7442600
ABCL,28-Jan-2026,4.03,4.05,3.85,3.9,3008400
ABCS,28-Jan-2026,31.03,31.03,30.9253,30.9253,1000
ABEO,28-Jan-2026,5.09,5.1,4.785,4.83,2117000
ABI,28-Jan-2026,25.01,25.01,25.01,25.01,100
ABIG,28-Jan-2026,32.84,32.84,32.74,32.81,2600
ABLV,28-Jan-2026,0.6902,0.7535,0.6902,0.74,19500
ABLVW,28-Jan-2026,0.025,0.033,0.0243,0.0257,4300
ABNB,28-Jan-2026,132.54,134.115,131.51,131.55,2264100
ABNG,28-Jan-2026,17,17,16.8633,16.8633,10200
ABOS,28-Jan-2026,2.96,3.0499,2.63,2.81,2223500
ABPWW,28-Jan-2026,0.0185,0.0185,0.013,0.0131,20700
ABSI,28-Jan-2026,3.04,3.04,2.895,2.94,2762600
ABTC,28-Jan-2026,1.6,1.6,1.54,1.56,10561500
ABTS,28-Jan-2026,4.51,4.8,4.3,4.46,8400
ABUS,28-Jan-2026,4.17,4.245,4.06,4.14,1197100
ABVC,28-Jan-2026,2.09,2.1,2,2.0292,36700
ABVE,28-Jan-2026,2.54,2.61,2.17,2.21,2512200
ABVEW,28-Jan-2026,0.98,0.99,0.75,0.78,68100
ABVX,28-Jan-2026,118.73,119.16,112.88,113.98,1031100
ACAD,28-Jan-2026,26.36,27.205,25.52,25.62,1500800
ACB,28-Jan-2026,4.45,4.47,4.31,4.32,1147200
ACCL,28-Jan-2026,1.49,1.49,1.44,1.46,111400
ACDC,28-Jan-2026,5,5.04,4.775,4.87,821500
ACEP,28-Jan-2026,18.02,18.14,18.0199,18.1219,10700
ACET,28-Jan-2026,8.54,8.55,8.28,8.45,74400
ACFN,28-Jan-2026,17.65,18.3,17.2234,17.32,69000
ACGL,28-Jan-2026,93.38,94.83,92.96,94.17,1955000
ACGLN,28-Jan-2026,17.94,17.95,17.8,17.82,26300
ACGLO,28-Jan-2026,21.19,21.2799,21.14,21.19,15200
ACHC,28-Jan-2026,13.52,13.67,13.165,13.44,3349800
ACHV,28-Jan-2026,4.64,4.73,4.36,4.36,863100
ACIC,28-Jan-2026,10.85,10.96,10.78,10.81,192700
ACIU,28-Jan-2026,3.57,3.58,3.41,3.47,256000
ACIW,28-Jan-2026,44.92,45.28,43.435,43.5,651500
ACLS,28-Jan-2026,93.64,94.35,89.23,91.23,550800
ACLX,28-Jan-2026,68.61,69.05,67,68.14,659800
ACMR,28-Jan-2026,54.61,56.45,54.33,55.79,923000
ACNB,28-Jan-2026,49.75,49.75,48.22,48.48,56500
ACNT,28-Jan-2026,15.98,16.25,15.75,15.84,57800
ACOG,28-Jan-2026,5.76,5.77,5.2321,5.37,111900
ACON,28-Jan-2026,3.68,3.7214,3.61,3.68,112200
ACONW,28-Jan-2026,0.035,0.0388,0.0331,0.0388,26400
ACRS,28-Jan-2026,3.9,3.92,3.505,3.51,1571400
ACRV,28-Jan-2026,1.97,2.01,1.85,1.89,1031000
ACT,28-Jan-2026,39.19,40.04,39.07,39.31,313300
ACTG,28-Jan-2026,3.93,3.95,3.82,3.83,73700
ACTU,28-Jan-2026,5.5,5.59,4.96,4.97,117900
