Symbol,Date,Open,High,Low,Close,Volume
JBLU,12-Apr-2002,11.123,13.708,11.107,13.34,31864500
JBLU,15-Apr-2002,13.444,14.167,12.809,13.402,5477175
JBLU,16-Apr-2002,13.37,13.636,12.816,13.58,2637900
JBLU,17-Apr-2002,13.577,13.74,13.1,13.37,1924425
JBLU,18-Apr-2002,13.39,13.393,12.702,13.103,1904400
JBLU,19-Apr-2002,13.171,13.387,12.904,12.934,799425
JBLU,22-Apr-2002,12.922,13.014,12.448,12.451,1374525
JBLU,23-Apr-2002,12.424,12.599,12.006,12.569,1291500
JBLU,24-Apr-2002,12.634,13.553,12.617,13.518,1135350
JBLU,25-Apr-2002,13.515,13.577,12.94,13.325,474975
JBLU,26-Apr-2002,13.367,13.814,13.058,13.814,821475
JBLU,29-Apr-2002,13.767,14.348,13.767,14.129,735750
JBLU,30-Apr-2002,14.051,14.967,14.01,14.911,2854800
JBLU,01-May-2002,14.627,14.893,14.392,14.769,1605375
JBLU,02-May-2002,14.807,14.807,14.259,14.57,526050
JBLU,03-May-2002,14.526,15.43,14.378,15.427,961425
JBLU,06-May-2002,15.563,16.349,15.445,16.156,1604250
JBLU,07-May-2002,15.83,15.978,14.437,14.704,2253150
JBLU,08-May-2002,14.822,14.822,13.577,13.977,1242675
JBLU,09-May-2002,13.942,14.775,13.942,14.425,670500
JBLU,10-May-2002,14.526,14.674,13.948,14.022,524250
JBLU,13-May-2002,13.933,13.986,13.488,13.933,400725
JBLU,14-May-2002,13.891,13.903,13.488,13.844,420075
JBLU,15-May-2002,13.74,13.909,13.512,13.636,569250
JBLU,16-May-2002,13.699,13.758,13.527,13.539,358425
JBLU,17-May-2002,13.589,13.625,13.414,13.506,210150
JBLU,20-May-2002,13.509,13.601,12.904,12.925,443025
JBLU,21-May-2002,12.996,13.073,12.774,13.011,234900
JBLU,22-May-2002,12.955,13.189,12.91,13.162,120825
JBLU,23-May-2002,13.184,13.355,13.044,13.325,95625
JBLU,24-May-2002,13.325,13.482,13.118,13.118,235575
JBLU,27-May-2002,13.118,13.118,13.118,13.118,0
JBLU,28-May-2002,13.121,13.384,13.073,13.384,171000
JBLU,29-May-2002,13.39,13.737,13.328,13.61,255600
JBLU,30-May-2002,13.592,13.717,13.548,13.696,227025
JBLU,31-May-2002,13.722,13.814,13.073,13.133,238950
JBLU,03-Jun-2002,13.399,13.678,13.384,13.429,308025
JBLU,04-Jun-2002,13.399,13.518,13.281,13.373,333675
JBLU,05-Jun-2002,13.37,13.856,13.325,13.636,274500
JBLU,06-Jun-2002,13.784,13.933,13.711,13.808,175725
JBLU,07-Jun-2002,13.859,14.096,13.39,14.051,345150
JBLU,10-Jun-2002,14.072,14.244,14.072,14.14,213300
JBLU,11-Jun-2002,14.081,14.627,14.078,14.443,281700
JBLU,12-Jun-2002,14.437,14.576,14.081,14.229,310050
JBLU,13-Jun-2002,14.378,14.635,14.185,14.555,242100
JBLU,14-Jun-2002,14.446,14.449,14.229,14.333,260775
JBLU,17-Jun-2002,14.277,14.97,14.277,14.799,706275
JBLU,18-Jun-2002,14.763,14.778,14.366,14.464,415800
JBLU,19-Jun-2002,14.425,14.541,14.274,14.407,318600
JBLU,20-Jun-2002,14.378,14.594,14.265,14.384,173700
JBLU,21-Jun-2002,14.348,14.348,14.134,14.259,184500
JBLU,24-Jun-2002,14.3,14.351,14.155,14.351,179100
JBLU,25-Jun-2002,14.354,14.354,13.69,13.717,388575
JBLU,26-Jun-2002,13.636,13.681,13.284,13.432,594225
JBLU,27-Jun-2002,13.429,13.518,12.798,13.044,523350
JBLU,28-Jun-2002,13.07,13.865,12.999,13.506,715050
JBLU,01-Jul-2002,13.473,13.666,13.373,13.473,243900
JBLU,02-Jul-2002,13.473,13.503,12.955,13.011,510975
